# Function comes from Intel's documentation:
#
# CHAPTER 5 INSTRUCTION SET REFERENCE, V-Z 5.1 TERNARY BIT VECTOR LOGIC TABLE
#
# Excerpts:
#
# The three input bit source data will be denoted with the capital letters: A,
ca A?B:C
cb B?orAC:!A
cc B
cd orBnorAC
ce A?B:orBC
cf orB!A
d0 C?andBA:A
d1 B?A:!C
d2 B?A:xorAC
d3 B?A:nandAC
d4 C?andBA:orBA
d5 nandCnandBA
d6 C?xnorBA:orBA
d7 nandCxorBA
d8 C?B:A
d9 B?orAC:!C
da B?orAC:xorAC
db B?orAC:nandAC
dc C?B:orBA
dd orB!C
de orBxorAC
df orBnandAC
e0 andAorBC
e1 xnorAorBC
e2 B?A:C
e3 A?orBC:!B
e4 C?A:B
e5 A?orBC:!C
e6 A?orBC:xorBC
e7 A?orBC:nandBC
### e8 majorABC
e8 A?orBC:andBC
e9 A?orBC:xnorBC
ea orCandBA
eb orCxnorBA
ec orBandAC
ed orBxnorAC
ee orCB
ef nandAnorBC
f0 A
f1 orAnorBC
f2 B?A:orAC
f3 orA!B
f4 C?A:orBA
f5 orA!C
f6 orAxorBC
f7 orAnandBC
f8 orAandBC
f9 orAxnorBC
fa orCA
fb nandBnorAC
fc orBA
fd nandCnorBA
### fe orABC
fe orAorBC
ff TRUE
